seqnames	start	end	1stKD	2ndKD	Ctrl
chr1	10094	10273	1	0	0
chr1	180725	180993	1	1	1
chr1	181301	181606	1	1	1
chr1	629836	630116	1	1	1
chr1	633916	634164	1	1	1
chr1	778525	779000	1	1	1
chr1	827349	827779	1	1	1
chr1	869904	870119	0	0	1
chr1	904591	904908	1	0	0
chr1	906808	907102	0	1	0
chr1	921087	921269	1	0	0
chr1	959006	959469	1	0	1
chr1	959502	959662	0	1	0
chr1	966912	967151	0	1	0
chr1	976192	976545	0	0	1
chr1	1013153	1013551	0	0	1
chr1	1019151	1020297	1	1	1
chr1	1032983	1033414	1	1	1
chr1	1040642	1040979	1	0	1
chr1	1059317	1059472	0	0	1
chr1	1059505	1059805	1	1	0
chr1	1064179	1064332	1	0	0
chr1	1079706	1080104	0	0	1
chr1	1115802	1116690	1	1	1
chr1	1122160	1122348	1	0	0
chr1	1157474	1157750	0	0	1
chr1	1231698	1232545	1	1	1
chr1	1273690	1274413	1	1	1
chr1	1307784	1308868	1	1	1
chr1	1324392	1325250	1	1	1
chr1	1348995	1349986	1	1	1
chr1	1371280	1371738	1	1	0
chr1	1374956	1375658	1	1	1
chr1	1399134	1399943	1	1	1
chr1	1407118	1407686	1	1	1
chr1	1440743	1440898	1	0	0
chr1	1471377	1471860	1	1	1
chr1	1511496	1512294	1	1	1
chr1	1574211	1575260	1	1	1
chr1	1614482	1614632	0	1	0
chr1	1615117	1615681	1	1	1
chr1	1615779	1616272	1	0	0
chr1	1658857	1659007	1	0	0
chr1	1659061	1659289	1	1	1
chr1	1724207	1724603	1	1	1
chr1	1746029	1746294	1	0	0
chr1	1746415	1746572	1	0	0
chr1	1763901	1764726	1	1	1
chr1	1778328	1778502	0	1	1
chr1	1778567	1779284	1	1	0
chr1	1782819	1782979	1	0	0
chr1	1869617	1869767	1	0	0
chr1	1890133	1890483	1	1	0
chr1	1890666	1891630	1	1	1
chr1	1906966	1907120	0	0	1
chr1	1908511	1909521	1	1	1
chr1	1919021	1919849	1	1	1
chr1	1996215	1996517	1	1	0
chr1	2044973	2045196	0	0	1
chr1	2112430	2112791	1	0	0
chr1	2132956	2133786	1	1	1
chr1	2150917	2151774	1	1	1
chr1	2189303	2190127	1	1	1
chr1	2194517	2195370	1	1	1
chr1	2199223	2199769	1	1	0
chr1	2204737	2205613	1	1	1
chr1	2212421	2212954	0	0	1
chr1	2227377	2228303	1	1	1
chr1	2234347	2235032	1	1	0
chr1	2255661	2256248	1	0	1
chr1	2290440	2291091	1	1	1
chr1	2300969	2301461	1	0	0
chr1	2391100	2392113	1	1	1
chr1	2412160	2413066	1	1	1
chr1	3491285	3491725	1	0	1
chr1	3515885	3516537	1	0	0
chr1	3624464	3625444	1	1	1
chr1	3649814	3650298	1	1	1
chr1	3666327	3666483	1	0	0
chr1	3668883	3669086	0	1	0
chr1	3677180	3677883	1	1	1
chr1	3688568	3688733	1	0	0
chr1	3717237	3717580	1	0	0
chr1	3747114	3747305	0	0	1
chr1	3796171	3796720	1	1	1
chr1	3796773	3796955	0	0	1
chr1	3811359	3811758	1	1	1
chr1	3815567	3816141	1	1	1
chr1	3856859	3857800	1	1	1
chr1	3900000	3901570	1	1	1
chr1	4007523	4007931	1	0	0
chr1	4736176	4736615	1	0	0
chr1	5975188	5975478	1	1	0
chr1	5991943	5992948	1	1	1
chr1	6025991	6026484	1	1	1
chr1	6028131	6028564	0	1	0
chr1	6101283	6101542	1	0	0
chr1	6102056	6102206	1	0	0
chr1	6127560	6128059	1	0	0
chr1	6171588	6171786	0	0	1
chr1	6199268	6199950	1	1	1
chr1	6235566	6236369	1	1	1
chr1	6245044	6245372	1	0	0
chr1	6260003	6260285	1	0	1
chr1	6343576	6343750	0	1	0
chr1	6392536	6392721	0	1	0
chr1	6392971	6394092	1	1	1
chr1	6554133	6554781	1	1	1
chr1	6579652	6580265	1	1	1
chr1	6591351	6591507	1	0	0
chr1	6602506	6603322	1	1	1
chr1	6613070	6613995	1	1	1
chr1	6624814	6625584	1	1	0
chr1	6653024	6653295	1	0	0
chr1	6701420	6702261	1	1	1
chr1	6727519	6727915	0	1	0
chr1	6743542	6744185	1	1	1
chr1	6784405	6785601	1	1	1
chr1	7771004	7771636	1	1	1
chr1	7783765	7784289	1	1	1
chr1	7856406	7856656	1	0	0
chr1	7942373	7942606	1	0	0
chr1	7942645	7942795	0	1	0
chr1	7953960	7954470	1	1	1
chr1	7961266	7962134	1	1	1
chr1	8004909	8005121	0	1	0
chr1	8106783	8107358	1	1	1
chr1	8224828	8225373	1	1	0
chr1	8383192	8383365	1	0	0
chr1	8388111	8388329	1	1	0
