seqnames	start	end	1stKD	2ndKD	Ctrl
chr1	10094	10273	1	0	0
chr1	181389	181539	1	0	0
chr1	629840	630055	1	1	1
chr1	633917	634143	1	1	1
chr1	778562	778963	1	0	1
chr1	1019308	1019693	1	1	1
chr1	1033073	1033285	0	1	0
chr1	1115975	1116529	1	1	1
chr1	1231894	1232394	1	1	0
chr1	1273751	1274245	0	0	1
chr1	1307986	1308648	1	0	1
chr1	1324692	1325081	0	0	1
chr1	1349128	1349807	1	0	1
chr1	1375149	1375650	1	1	1
chr1	1399266	1399657	1	1	1
chr1	1511878	1512168	0	0	1
chr1	1574577	1574965	0	0	1
chr1	1615151	1615606	1	0	1
chr1	1659098	1659270	0	0	1
chr1	1724296	1724579	1	0	1
chr1	1764084	1764603	1	0	1
chr1	1778742	1779097	1	0	0
chr1	1890973	1891323	1	1	0
chr1	1909025	1909283	1	0	1
chr1	1919194	1919743	1	1	1
chr1	1996281	1996379	1	0	0
chr1	2112480	2112674	1	0	0
chr1	2133129	2133752	1	1	1
chr1	2151270	2151446	1	0	0
chr1	2189433	2189765	1	0	0
chr1	2194753	2195155	1	1	0
chr1	2199244	2199563	1	0	0
chr1	2227573	2228168	1	1	1
chr1	2234366	2234714	1	0	0
chr1	2255865	2256208	1	0	1
chr1	2290601	2291071	1	0	0
chr1	2391446	2391980	1	0	1
chr1	2412437	2412642	0	0	1
chr1	3624711	3625100	1	1	1
chr1	3649912	3650229	1	0	0
chr1	3796399	3796680	1	0	0
chr1	3815956	3816063	1	0	0
chr1	3857114	3857536	1	1	1
chr1	3900195	3901023	1	1	1
chr1	3901256	3901553	1	1	0
chr1	4007557	4007835	1	0	0
chr1	5992114	5992794	1	1	1
chr1	6026022	6026391	1	0	0
chr1	6127691	6127739	1	0	0
chr1	6199355	6199865	1	0	1
chr1	6235705	6236222	1	1	1
chr1	6245129	6245307	1	0	0
chr1	6393125	6393853	1	0	1
chr1	6554266	6554745	1	0	0
chr1	6579747	6580184	1	1	0
chr1	6602565	6603213	1	1	1
chr1	6613198	6613858	1	1	1
chr1	6701705	6702096	1	1	1
chr1	6743713	6744163	1	1	0
chr1	6784470	6785530	1	1	1
chr1	7783821	7784272	1	1	1
chr1	7856421	7856646	1	0	0
chr1	7961302	7961893	1	0	1
chr1	8106821	8107348	1	0	0
chr1	8225044	8225299	1	0	0
chr1	8388159	8388329	1	0	0
chr1	8427593	8427868	1	0	0
chr1	8525885	8526246	1	1	0
chr1	8703098	8703714	1	0	1
chr1	8817519	8818139	1	0	1
chr1	8878605	8879333	1	0	1
chr1	9069525	9069920	1	1	0
chr1	9129111	9129295	0	0	1
chr1	9234375	9234986	1	0	1
chr1	9292810	9292888	1	0	0
chr1	9410754	9411185	1	0	0
chr1	9428837	9429153	1	0	1
chr1	9539158	9539582	1	1	1
chr1	9588421	9588912	1	1	1
chr1	9654518	9654741	1	0	0
chr1	9900389	9900719	1	0	0
chr1	9910088	9910930	1	1	1
chr1	10032538	10033162	1	1	0
chr1	10210246	10210706	1	1	1
chr1	10398436	10399273	1	1	1
chr1	10400515	10400855	1	0	0
chr1	10415150	10415719	1	1	1
chr1	10430244	10431021	1	0	1
chr1	10472239	10472833	1	1	1
chr1	10474768	10475066	1	0	1
chr1	10484537	10484990	1	0	0
chr1	10635485	10635864	1	0	1
chr1	10694582	10695041	1	1	1
chr1	10961144	10961295	1	0	0
chr1	10965126	10965400	1	0	0
chr1	10965640	10965973	1	0	0
chr1	11012290	11013216	1	1	1
chr1	11059761	11060495	1	0	1
chr1	11099332	11100013	1	1	1
chr1	11262416	11262977	1	1	1
chr1	11273089	11273556	1	0	1
chr1	11362137	11362283	1	0	0
chr1	11383598	11384003	1	0	0
chr1	11670782	11671146	1	0	0
chr1	11680946	11681774	1	1	1
chr1	11719433	11719927	1	0	1
chr1	11790833	11791193	1	0	0
chr1	11805759	11806474	1	1	1
chr1	11815039	11815278	1	0	0
chr1	11851156	11851672	1	1	1
chr1	11908082	11909153	1	1	1
chr1	11909223	11909933	1	1	1
chr1	11926220	11926693	1	1	1
chr1	11934425	11934999	1	0	1
chr1	11960755	11961009	1	0	0
chr1	11980039	11980690	1	1	1
chr1	11985870	11986231	1	1	0
chr1	12019145	12019810	1	1	1
chr1	12020124	12020478	1	1	0
chr1	12133082	12133327	1	0	0
chr1	12143526	12143648	1	0	0
chr1	12143722	12144141	1	1	0
chr1	12153206	12153544	1	0	0
chr1	12161708	12162134	1	0	0
chr1	12184178	12184580	1	0	0
chr1	12196568	12197077	1	1	1
chr1	12229832	12230213	1	0	1
chr1	12376806	12377189	1	0	0
chr1	12416174	12416432	1	0	0
chr1	12434282	12434553	1	0	0
chr1	12510501	12511083	1	0	1
chr1	12604379	12604699	1	0	0
chr1	13623329	13623654	1	0	0
chr1	13700198	13700702	1	1	0
chr1	13723781	13724125	1	1	0
chr1	13749041	13749706	1	1	1
chr1	14733196	14733520	1	0	0
chr1	14742129	14742644	1	0	1
chr1	14780389	14780730	1	0	0
chr1	14924004	14924180	1	0	0
chr1	14970136	14970469	1	0	0
chr1	15083544	15083954	1	1	0
chr1	15231667	15232007	1	0	0
chr1	15261129	15261345	1	0	0
chr1	15345910	15346266	1	0	0
chr1	15409655	15410005	1	0	1
chr1	15411680	15411926	1	0	0
chr1	15416001	15416476	1	0	0
chr1	15434823	15435143	1	0	0
chr1	15455570	15455881	1	0	0
chr1	15524221	15525231	1	1	1
chr1	15526459	15526993	1	1	1
chr1	15603503	15603948	1	0	1
chr1	15617170	15617610	1	1	1
chr1	15696972	15697322	1	0	0
chr1	15835803	15836194	0	1	1
chr1	15837015	15837369	1	0	0
chr1	15847413	15847938	1	1	1
chr1	15886216	15886652	1	0	1
chr1	15975762	15976299	1	1	1
chr1	16164256	16164551	1	0	0
chr1	16173141	16173512	1	0	0
chr1	16206241	16207207	1	1	1
chr1	16217220	16217903	1	1	1
chr1	16236981	16237427	1	1	1
chr1	16352108	16352714	1	0	1
chr1	16364969	16365291	1	1	0
chr1	16366898	16367596	1	1	1
chr1	16440322	16440888	1	1	1
chr1	16498973	16499369	1	1	1
chr1	16513944	16514094	1	0	1
chr1	16540407	16540557	1	0	0
chr1	16540702	16540926	1	0	0
chr1	16613265	16613952	1	1	1
chr1	16644377	16645088	1	1	1
chr1	16677996	16678376	1	0	0
chr1	16727258	16727760	1	0	1
chr1	16896109	16896313	1	1	0
chr1	16904747	16905730	1	1	1
chr1	16913822	16914363	1	1	1
chr1	16951580	16952034	1	1	1
chr1	17011661	17012182	1	0	1
chr1	17013894	17014109	1	0	0
chr1	17053769	17054391	1	1	1
chr1	17066650	17067373	1	0	1
chr1	17141415	17141635	1	0	0
chr1	17141821	17142142	1	0	0
chr1	17630067	17630413	1	0	0
chr1	17635730	17636226	1	1	1
chr1	18902517	18903076	1	0	1
chr1	18956579	18957134	1	1	1
chr1	19011210	19011433	1	0	0
chr1	19209992	19210634	1	1	1
chr1	19241323	19241627	1	0	0
chr1	19251451	19251832	1	1	1
chr1	19312005	19312315	1	0	1
chr1	19326047	19326389	1	0	0
chr1	19338230	19338643	1	1	1
chr1	19476937	19477170	1	0	0
chr1	19485373	19486034	1	0	1
chr1	19505786	19506126	1	0	0
chr1	19596719	19597149	0	0	1
chr1	19659730	19660112	1	0	0
chr1	19715590	19715986	1	1	0
chr1	19882142	19882673	1	1	1
chr1	19955713	19956080	1	1	0
